code,country,date,raw,rolling7,publication
CN,China,2010-03-04,-2.0,-1.7142857142857142,True
CN,China,2010-03-05,,-1.7142857142857142,False
CN,China,2010-03-06,,-1.7142857142857142,False
CN,China,2010-03-07,,-1.7142857142857142,False
CN,China,2010-03-08,,-1.7142857142857142,False
CN,China,2010-03-09,-2.0,-1.8571428571428572,True
CN,China,2010-03-10,,-2.0,False
CN,China,2010-03-11,-2.0,-2.0,True
CN,China,2010-03-12,,-2.0,False
CN,China,2010-03-13,,-2.0,False
CN,China,2010-03-14,,-2.0,False
CN,China,2010-03-15,,-2.0,False
CN,China,2010-03-16,0.0,-1.7142857142857142,True
CN,China,2010-03-17,,-1.4285714285714286,False
CN,China,2010-03-18,0.0,-1.1428571428571428,True
CN,China,2010-03-19,,-0.8571428571428571,False
CN,China,2010-03-20,,-0.5714285714285714,False
CN,China,2010-03-21,,-0.2857142857142857,False
CN,China,2010-03-22,,0.0,False
CN,China,2010-03-23,0.0,0.0,True
CN,China,2010-03-24,,0.0,False
CN,China,2010-03-25,-2.0,-0.2857142857142857,True
CN,China,2010-03-26,,-0.5714285714285714,False
CN,China,2010-03-27,,-0.8571428571428571,False
CN,China,2010-03-28,,-1.1428571428571428,False
CN,China,2010-03-29,,-1.4285714285714286,False
CN,China,2010-03-30,0.0,-1.4285714285714286,True
CN,China,2010-03-31,,-1.4285714285714286,False
CN,China,2010-04-01,1.0,-1.0,True
CN,China,2010-04-02,,-0.5714285714285714,False
CN,China,2010-04-03,,-0.14285714285714285,False
CN,China,2010-04-04,,0.2857142857142857,False
CN,China,2010-04-05,,0.7142857142857143,False
CN,China,2010-04-06,0.0,0.7142857142857143,True
CN,China,2010-04-07,,0.7142857142857143,False
CN,China,2010-04-08,-1.0,0.42857142857142855,True
CN,China,2010-04-09,,0.14285714285714285,False
CN,China,2010-04-10,,-0.14285714285714285,False
CN,China,2010-04-11,,-0.42857142857142855,False
CN,China,2010-04-12,,-0.7142857142857143,False
CN,China,2010-04-13,0.0,-0.7142857142857143,True
CN,China,2010-04-14,,-0.7142857142857143,False
CN,China,2010-04-15,0.0,-0.5714285714285714,True
CN,China,2010-04-16,,-0.42857142857142855,False
CN,China,2010-04-17,,-0.2857142857142857,False
CN,China,2010-04-18,,-0.14285714285714285,False
CN,China,2010-04-19,,0.0,False
CN,China,2010-04-20,0.0,0.0,True
CN,China,2010-04-21,,0.0,False
CN,China,2010-04-22,-1.0,-0.14285714285714285,True
CN,China,2010-04-23,,-0.2857142857142857,False
CN,China,2010-04-24,,-0.42857142857142855,False
CN,China,2010-04-25,,-0.5714285714285714,False
CN,China,2010-04-26,,-0.7142857142857143,False
CN,China,2010-04-27,0.0,-0.7142857142857143,True
CN,China,2010-04-28,,-0.7142857142857143,False
CN,China,2010-04-29,0.0,-0.5714285714285714,True
CN,China,2010-04-30,,-0.42857142857142855,False
CN,China,2010-05-01,,-0.2857142857142857,False
CN,China,2010-05-02,,-0.14285714285714285,False
CN,China,2010-05-03,,0.0,False
CN,China,2010-05-04,0.0,0.0,True
CN,China,2010-05-05,,0.0,False
CN,China,2010-05-06,0.0,0.0,True
CN,China,2010-05-07,,0.0,False
CN,China,2010-05-08,,0.0,False
CN,China,2010-05-09,,0.0,False
CN,China,2010-05-10,,0.0,False
CN,China,2010-05-11,-1.0,-0.14285714285714285,True
CN,China,2010-05-12,,-0.2857142857142857,False
CN,China,2010-05-13,0.0,-0.2857142857142857,True
CN,China,2010-05-14,,-0.2857142857142857,False
CN,China,2010-05-15,,-0.2857142857142857,False
CN,China,2010-05-16,,-0.2857142857142857,False
CN,China,2010-05-17,,-0.2857142857142857,False
CN,China,2010-05-18,-1.0,-0.2857142857142857,True
CN,China,2010-05-19,,-0.2857142857142857,False
CN,China,2010-05-20,-1.0,-0.42857142857142855,True
CN,China,2010-05-21,,-0.5714285714285714,False
CN,China,2010-05-22,,-0.7142857142857143,False
CN,China,2010-05-23,,-0.8571428571428571,False
CN,China,2010-05-24,,-1.0,False
CN,China,2010-05-25,-1.0,-1.0,True
CN,China,2010-05-26,,-1.0,False
CN,China,2010-05-27,0.0,-0.8571428571428571,True
CN,China,2010-05-28,,-0.7142857142857143,False
CN,China,2010-05-29,,-0.5714285714285714,False
CN,China,2010-05-30,,-0.42857142857142855,False
CN,China,2010-05-31,,-0.2857142857142857,False
CN,China,2010-06-01,-1.0,-0.2857142857142857,True
CN,China,2010-06-02,,-0.2857142857142857,False
CN,China,2010-06-03,-1.0,-0.42857142857142855,True
CN,China,2010-06-04,,-0.5714285714285714,False
CN,China,2010-06-05,,-0.7142857142857143,False
CN,China,2010-06-06,,-0.8571428571428571,False
CN,China,2010-06-07,,-1.0,False
CN,China,2010-06-08,-1.0,-1.0,True
CN,China,2010-06-09,,-1.0,False
CN,China,2010-06-10,-1.0,-1.0,True
CN,China,2010-06-11,,-1.0,False
CN,China,2010-06-12,,-1.0,False
CN,China,2010-06-13,,-1.0,False
CN,China,2010-06-14,,-1.0,False
CN,China,2010-06-15,,-1.0,False
CN,China,2010-06-16,,-1.0,False
CN,China,2010-06-17,-2.0,-1.1428571428571428,True
CN,China,2010-06-18,,-1.2857142857142858,False
CN,China,2010-06-19,,-1.4285714285714286,False
CN,China,2010-06-20,,-1.5714285714285714,False
CN,China,2010-06-21,,-1.7142857142857142,False
CN,China,2010-06-22,-2.0,-1.8571428571428572,True
CN,China,2010-06-23,,-2.0,False
CN,China,2010-06-24,-2.0,-2.0,True
CN,China,2010-06-25,,-2.0,False
CN,China,2010-06-26,,-2.0,False
CN,China,2010-06-27,,-2.0,False
CN,China,2010-06-28,,-2.0,False
CN,China,2010-06-29,0.0,-1.7142857142857142,True
CN,China,2010-06-30,,-1.4285714285714286,False
CN,China,2010-07-01,0.0,-1.1428571428571428,True
CN,China,2010-07-02,,-0.8571428571428571,False
CN,China,2010-07-03,,-0.5714285714285714,False
CN,China,2010-07-04,,-0.2857142857142857,False
CN,China,2010-07-05,,0.0,False
CN,China,2010-07-06,-1.0,-0.14285714285714285,True
CN,China,2010-07-07,,-0.2857142857142857,False
CN,China,2010-07-08,-2.0,-0.5714285714285714,True
CN,China,2010-07-09,,-0.8571428571428571,False
CN,China,2010-07-10,,-1.1428571428571428,False
CN,China,2010-07-11,,-1.4285714285714286,False
CN,China,2010-07-12,,-1.7142857142857142,False
CN,China,2010-07-13,-2.0,-1.8571428571428572,True
CN,China,2010-07-14,,-2.0,False
CN,China,2010-07-15,-2.0,-2.0,True
CN,China,2010-07-16,,-2.0,False
CN,China,2010-07-17,,-2.0,False
CN,China,2010-07-18,,-2.0,False
CN,China,2010-07-19,,-2.0,False
CN,China,2010-07-20,,-2.0,False
CN,China,2010-07-21,,-2.0,False
CN,China,2010-07-22,,-2.0,False
CN,China,2010-07-23,,-2.0,False
CN,China,2010-07-24,,-2.0,False
CN,China,2010-07-25,,-2.0,False
CN,China,2010-07-26,,-2.0,False
CN,China,2010-07-27,,-2.0,False
CN,China,2010-07-28,,-2.0,False
CN,China,2010-07-29,,-2.0,False
CN,China,2010-07-30,,-2.0,False
CN,China,2010-07-31,,-2.0,False
CN,China,2010-08-01,,-2.0,False
CN,China,2010-08-02,,-2.0,False
CN,China,2010-08-03,,-2.0,False
CN,China,2010-08-04,,-2.0,False
CN,China,2010-08-05,,-2.0,False
CN,China,2010-08-06,,-2.0,False
CN,China,2010-08-07,,-2.0,False
CN,China,2010-08-08,,-2.0,False
CN,China,2010-08-09,,-2.0,False
CN,China,2010-08-10,,-2.0,False
CN,China,2010-08-11,,-2.0,False
CN,China,2010-08-12,,-2.0,False
CN,China,2010-08-13,,-2.0,False
CN,China,2010-08-14,,-2.0,False
CN,China,2010-08-15,,-2.0,False
CN,China,2010-08-16,,-2.0,False
CN,China,2010-08-17,,-2.0,False
CN,China,2010-08-18,,-2.0,False
CN,China,2010-08-19,,-2.0,False
CN,China,2010-08-20,,-2.0,False
CN,China,2010-08-21,,-2.0,False
CN,China,2010-08-22,,-2.0,False
CN,China,2010-08-23,,-2.0,False
CN,China,2010-08-24,,-2.0,False
CN,China,2010-08-25,,-2.0,False
CN,China,2010-08-26,,-2.0,False
CN,China,2010-08-27,,-2.0,False
CN,China,2010-08-28,,-2.0,False
CN,China,2010-08-29,,-2.0,False
CN,China,2010-08-30,,-2.0,False
CN,China,2010-08-31,,-2.0,False
CN,China,2010-09-01,,-2.0,False
CN,China,2010-09-02,-1.0,-1.8571428571428572,True
CN,China,2010-09-03,,-1.7142857142857142,False
CN,China,2010-09-04,,-1.5714285714285714,False
CN,China,2010-09-05,,-1.4285714285714286,False
CN,China,2010-09-06,,-1.2857142857142858,False
CN,China,2010-09-07,-1.0,-1.1428571428571428,True
CN,China,2010-09-08,,-1.0,False
CN,China,2010-09-09,-2.0,-1.1428571428571428,True
CN,China,2010-09-10,,-1.2857142857142858,False
CN,China,2010-09-11,,-1.4285714285714286,False
CN,China,2010-09-12,,-1.5714285714285714,False
CN,China,2010-09-13,,-1.7142857142857142,False
CN,China,2010-09-14,-2.0,-1.8571428571428572,True
CN,China,2010-09-15,,-2.0,False
CN,China,2010-09-16,-2.0,-2.0,True
CN,China,2010-09-17,,-2.0,False
CN,China,2010-09-18,,-2.0,False
CN,China,2010-09-19,,-2.0,False
CN,China,2010-09-20,,-2.0,False
CN,China,2010-09-21,-2.0,-2.0,True
CN,China,2010-09-22,,-2.0,False
CN,China,2010-09-23,,-2.0,False
CN,China,2010-09-24,,-2.0,False
CN,China,2010-09-25,,-2.0,False
CN,China,2010-09-26,,-2.0,False
CN,China,2010-09-27,,-2.0,False
CN,China,2010-09-28,-2.0,-2.0,True
CN,China,2010-09-29,,-2.0,False
CN,China,2010-09-30,-2.0,-2.0,True
CN,China,2010-10-01,,-2.0,False
CN,China,2010-10-02,,-2.0,False
CN,China,2010-10-03,,-2.0,False
CN,China,2010-10-04,,-2.0,False
CN,China,2010-10-05,,-2.0,False
CN,China,2010-10-06,,-2.0,False
CN,China,2010-10-07,,-2.0,False
CN,China,2010-10-08,,-2.0,False
CN,China,2010-10-09,,-2.0,False
CN,China,2010-10-10,,-2.0,False
CN,China,2010-10-11,,-2.0,False
CN,China,2010-10-12,-2.0,-2.0,True
CN,China,2010-10-13,,-2.0,False
CN,China,2010-10-14,1.0,-1.5714285714285714,True
CN,China,2010-10-15,,-1.1428571428571428,False
CN,China,2010-10-16,,-0.7142857142857143,False
CN,China,2010-10-17,,-0.2857142857142857,False
CN,China,2010-10-18,,0.14285714285714285,False
CN,China,2010-10-19,-2.0,0.14285714285714285,True
CN,China,2010-10-20,,0.14285714285714285,False
CN,China,2010-10-21,-2.0,-0.2857142857142857,True
CN,China,2010-10-22,,-0.7142857142857143,False
CN,China,2010-10-23,,-1.1428571428571428,False
CN,China,2010-10-24,,-1.5714285714285714,False
CN,China,2010-10-25,,-2.0,False
CN,China,2010-10-26,-1.0,-1.8571428571428572,True
CN,China,2010-10-27,,-1.7142857142857142,False
CN,China,2010-10-28,0.0,-1.4285714285714286,True
CN,China,2010-10-29,,-1.1428571428571428,False
CN,China,2010-10-30,,-0.8571428571428571,False
CN,China,2010-10-31,,-0.5714285714285714,False
CN,China,2010-11-01,,-0.2857142857142857,False
CN,China,2010-11-02,0.0,-0.14285714285714285,True
CN,China,2010-11-03,,0.0,False
CN,China,2010-11-04,1.0,0.14285714285714285,True
CN,China,2010-11-05,,0.2857142857142857,False
CN,China,2010-11-06,,0.42857142857142855,False
CN,China,2010-11-07,,0.5714285714285714,False
CN,China,2010-11-08,,0.7142857142857143,False
CN,China,2010-11-09,-1.0,0.5714285714285714,True
CN,China,2010-11-10,,0.42857142857142855,False
CN,China,2010-11-11,-1.0,0.14285714285714285,True
CN,China,2010-11-12,,-0.14285714285714285,False
CN,China,2010-11-13,,-0.42857142857142855,False
CN,China,2010-11-14,,-0.7142857142857143,False
CN,China,2010-11-15,,-1.0,False
CN,China,2010-11-16,0.0,-0.8571428571428571,True
CN,China,2010-11-17,,-0.7142857142857143,False
CN,China,2010-11-18,0.0,-0.5714285714285714,True
CN,China,2010-11-19,,-0.42857142857142855,False
CN,China,2010-11-20,,-0.2857142857142857,False
CN,China,2010-11-21,,-0.14285714285714285,False
CN,China,2010-11-22,,0.0,False
CN,China,2010-11-23,-1.0,-0.14285714285714285,True
CN,China,2010-11-24,,-0.2857142857142857,False
CN,China,2010-11-25,-2.0,-0.5714285714285714,True
CN,China,2010-11-26,,-0.8571428571428571,False
CN,China,2010-11-27,,-1.1428571428571428,False
CN,China,2010-11-28,,-1.4285714285714286,False
CN,China,2010-11-29,,-1.7142857142857142,False
CN,China,2010-11-30,-1.0,-1.7142857142857142,True
CN,China,2010-12-01,,-1.7142857142857142,False
CN,China,2010-12-02,-2.0,-1.7142857142857142,True
CN,China,2010-12-03,,-1.7142857142857142,False
CN,China,2010-12-04,,-1.7142857142857142,False
CN,China,2010-12-05,,-1.7142857142857142,False
CN,China,2010-12-06,,-1.7142857142857142,False
CN,China,2010-12-07,1.0,-1.4285714285714286,True
CN,China,2010-12-08,,-1.1428571428571428,False
CN,China,2010-12-09,-1.0,-1.0,True
CN,China,2010-12-10,,-0.8571428571428571,False
CN,China,2010-12-11,,-0.7142857142857143,False
CN,China,2010-12-12,,-0.5714285714285714,False
CN,China,2010-12-13,,-0.42857142857142855,False
CN,China,2010-12-14,-1.0,-0.7142857142857143,True
CN,China,2010-12-15,,-1.0,False
CN,China,2010-12-16,-1.0,-1.0,True
CN,China,2010-12-17,,-1.0,False
CN,China,2010-12-18,,-1.0,False
CN,China,2010-12-19,,-1.0,False
CN,China,2010-12-20,,-1.0,False
CN,China,2010-12-21,2.0,-0.5714285714285714,True
CN,China,2010-12-22,,-0.14285714285714285,False
CN,China,2010-12-23,-1.0,-0.14285714285714285,True
CN,China,2010-12-24,,-0.14285714285714285,False
CN,China,2010-12-25,,-0.14285714285714285,False
CN,China,2010-12-26,,-0.14285714285714285,False
CN,China,2010-12-27,,-0.14285714285714285,False
CN,China,2010-12-28,-1.0,-0.5714285714285714,True
CN,China,2010-12-29,,-1.0,False
CN,China,2010-12-30,-1.0,-1.0,True
CN,China,2010-12-31,,-1.0,False
CN,China,2011-01-01,,-1.0,False
CN,China,2011-01-02,,-1.0,False
CN,China,2011-01-03,,-1.0,False
CN,China,2011-01-04,0.0,-0.8571428571428571,True
CN,China,2011-01-05,,-0.7142857142857143,False
CN,China,2011-01-06,1.0,-0.42857142857142855,True
CN,China,2011-01-07,,-0.14285714285714285,False
CN,China,2011-01-08,,0.14285714285714285,False
CN,China,2011-01-09,,0.42857142857142855,False
CN,China,2011-01-10,,0.7142857142857143,False
CN,China,2011-01-11,-1.0,0.5714285714285714,True
CN,China,2011-01-12,,0.42857142857142855,False
CN,China,2011-01-13,0.0,0.2857142857142857,True
CN,China,2011-01-14,,0.14285714285714285,False
CN,China,2011-01-15,,0.0,False
CN,China,2011-01-16,,-0.14285714285714285,False
CN,China,2011-01-17,,-0.2857142857142857,False
CN,China,2011-01-18,0.0,-0.14285714285714285,True
CN,China,2011-01-19,,0.0,False
CN,China,2011-01-20,1.0,0.14285714285714285,True
CN,China,2011-01-21,,0.2857142857142857,False
CN,China,2011-01-22,,0.42857142857142855,False
CN,China,2011-01-23,,0.5714285714285714,False
CN,China,2011-01-24,,0.7142857142857143,False
CN,China,2011-01-25,0.0,0.7142857142857143,True
CN,China,2011-01-26,,0.7142857142857143,False
CN,China,2011-01-27,0.0,0.5714285714285714,True
CN,China,2011-01-28,,0.42857142857142855,False
CN,China,2011-01-29,,0.2857142857142857,False
CN,China,2011-01-30,,0.14285714285714285,False
CN,China,2011-01-31,,0.0,False
CN,China,2011-02-01,0.0,0.0,True
CN,China,2011-02-02,,0.0,False
CN,China,2011-02-03,,0.0,False
CN,China,2011-02-04,,0.0,False
CN,China,2011-02-05,,0.0,False
CN,China,2011-02-06,,0.0,False
CN,China,2011-02-07,,0.0,False
CN,China,2011-02-08,,0.0,False
CN,China,2011-02-09,,0.0,False
CN,China,2011-02-10,-1.0,-0.14285714285714285,True
CN,China,2011-02-11,,-0.2857142857142857,False
CN,China,2011-02-12,,-0.42857142857142855,False
CN,China,2011-02-13,,-0.5714285714285714,False
CN,China,2011-02-14,,-0.7142857142857143,False
CN,China,2011-02-15,0.0,-0.7142857142857143,True
CN,China,2011-02-16,,-0.7142857142857143,False
CN,China,2011-02-17,0.0,-0.5714285714285714,True
CN,China,2011-02-18,,-0.42857142857142855,False
CN,China,2011-02-19,,-0.2857142857142857,False
CN,China,2011-02-20,,-0.14285714285714285,False
CN,China,2011-02-21,,0.0,False
CN,China,2011-02-22,0.0,0.0,True
CN,China,2011-02-23,,0.0,False
CN,China,2011-02-24,0.0,0.0,True
CN,China,2011-02-25,,0.0,False
CN,China,2011-02-26,,0.0,False
CN,China,2011-02-27,,0.0,False
CN,China,2011-02-28,,0.0,False
CN,China,2011-03-01,,0.0,False
CN,China,2011-03-02,,0.0,False
CN,China,2011-03-03,-1.0,-0.14285714285714285,True
CN,China,2011-03-04,,-0.2857142857142857,False
CN,China,2011-03-05,,-0.42857142857142855,False
CN,China,2011-03-06,,-0.5714285714285714,False
CN,China,2011-03-07,,-0.7142857142857143,False
CN,China,2011-03-08,-1.0,-0.8571428571428571,True
CN,China,2011-03-09,,-1.0,False
CN,China,2011-03-10,-1.0,-1.0,True
CN,China,2011-03-11,,-1.0,False
CN,China,2011-03-12,,-1.0,False
CN,China,2011-03-13,,-1.0,False
CN,China,2011-03-14,,-1.0,False
CN,China,2011-03-15,,-1.0,False
CN,China,2011-03-16,,-1.0,False
CN,China,2011-03-17,,-1.0,False
CN,China,2011-03-18,,-1.0,False
CN,China,2011-03-19,,-1.0,False
CN,China,2011-03-20,,-1.0,False
CN,China,2011-03-21,,-1.0,False
CN,China,2011-03-22,,-1.0,False
CN,China,2011-03-23,,-1.0,False
CN,China,2011-03-24,,-1.0,False
CN,China,2011-03-25,,-1.0,False
CN,China,2011-03-26,,-1.0,False
CN,China,2011-03-27,,-1.0,False
CN,China,2011-03-28,,-1.0,False
CN,China,2011-03-29,,-1.0,False
CN,China,2011-03-30,,-1.0,False
CN,China,2011-03-31,-1.0,-1.0,True
CN,China,2011-04-01,,-1.0,False
CN,China,2011-04-02,,-1.0,False
CN,China,2011-04-03,,-1.0,False
CN,China,2011-04-04,,-1.0,False
CN,China,2011-04-05,,-1.0,False
CN,China,2011-04-06,,-1.0,False
CN,China,2011-04-07,,-1.0,False
CN,China,2011-04-08,,-1.0,False
CN,China,2011-04-09,,-1.0,False
CN,China,2011-04-10,,-1.0,False
CN,China,2011-04-11,,-1.0,False
CN,China,2011-04-12,,-1.0,False
CN,China,2011-04-13,,-1.0,False
CN,China,2011-04-14,,-1.0,False
CN,China,2011-04-15,,-1.0,False
CN,China,2011-04-16,,-1.0,False
CN,China,2011-04-17,,-1.0,False
CN,China,2011-04-18,,-1.0,False
CN,China,2011-04-19,,-1.0,False
CN,China,2011-04-20,,-1.0,False
CN,China,2011-04-21,-1.0,-1.0,True
CN,China,2011-04-22,,-1.0,False
CN,China,2011-04-23,,-1.0,False
CN,China,2011-04-24,,-1.0,False
CN,China,2011-04-25,,-1.0,False
CN,China,2011-04-26,0.0,-0.8571428571428571,True
CN,China,2011-04-27,,-0.7142857142857143,False
CN,China,2011-04-28,0.0,-0.5714285714285714,True
CN,China,2011-04-29,,-0.42857142857142855,False
CN,China,2011-04-30,,-0.2857142857142857,False
CN,China,2011-05-01,,-0.14285714285714285,False
CN,China,2011-05-02,,0.0,False
CN,China,2011-05-03,-1.0,-0.14285714285714285,True
CN,China,2011-05-04,,-0.2857142857142857,False
CN,China,2011-05-05,-1.0,-0.42857142857142855,True
CN,China,2011-05-06,,-0.5714285714285714,False
CN,China,2011-05-07,,-0.7142857142857143,False
CN,China,2011-05-08,,-0.8571428571428571,False
CN,China,2011-05-09,,-1.0,False
CN,China,2011-05-10,0.0,-0.8571428571428571,True
CN,China,2011-05-11,,-0.7142857142857143,False
CN,China,2011-05-12,0.0,-0.5714285714285714,True
CN,China,2011-05-13,,-0.42857142857142855,False
CN,China,2011-05-14,,-0.2857142857142857,False
CN,China,2011-05-15,,-0.14285714285714285,False
CN,China,2011-05-16,,0.0,False
CN,China,2011-05-17,-1.0,-0.14285714285714285,True
CN,China,2011-05-18,,-0.2857142857142857,False
CN,China,2011-05-19,2.0,0.0,True
CN,China,2011-05-20,,0.2857142857142857,False
CN,China,2011-05-21,,0.5714285714285714,False
CN,China,2011-05-22,,0.8571428571428571,False
CN,China,2011-05-23,,1.1428571428571428,False
CN,China,2011-05-24,-1.0,1.1428571428571428,True
CN,China,2011-05-25,,1.1428571428571428,False
CN,China,2011-05-26,1.0,1.0,True
CN,China,2011-05-27,,0.8571428571428571,False
CN,China,2011-05-28,,0.7142857142857143,False
CN,China,2011-05-29,,0.5714285714285714,False
CN,China,2011-05-30,,0.42857142857142855,False
CN,China,2011-05-31,-2.0,0.2857142857142857,True
CN,China,2011-06-01,,0.14285714285714285,False
CN,China,2011-06-02,1.0,0.14285714285714285,True
CN,China,2011-06-03,,0.14285714285714285,False
CN,China,2011-06-04,,0.14285714285714285,False
CN,China,2011-06-05,,0.14285714285714285,False
CN,China,2011-06-06,,0.14285714285714285,False
CN,China,2011-06-07,-1.0,0.2857142857142857,True
CN,China,2011-06-08,,0.42857142857142855,False
CN,China,2011-06-09,0.0,0.2857142857142857,True
CN,China,2011-06-10,,0.14285714285714285,False
CN,China,2011-06-11,,0.0,False
CN,China,2011-06-12,,-0.14285714285714285,False
CN,China,2011-06-13,,-0.2857142857142857,False
CN,China,2011-06-14,-1.0,-0.2857142857142857,True
CN,China,2011-06-15,,-0.2857142857142857,False
CN,China,2011-06-16,-1.0,-0.42857142857142855,True
CN,China,2011-06-17,,-0.5714285714285714,False
CN,China,2011-06-18,,-0.7142857142857143,False
CN,China,2011-06-19,,-0.8571428571428571,False
CN,China,2011-06-20,,-1.0,False
CN,China,2011-06-21,0.0,-0.8571428571428571,True
CN,China,2011-06-22,,-0.7142857142857143,False
CN,China,2011-06-23,-2.0,-0.8571428571428571,True
CN,China,2011-06-24,,-1.0,False
CN,China,2011-06-25,,-1.1428571428571428,False
CN,China,2011-06-26,,-1.2857142857142858,False
CN,China,2011-06-27,,-1.4285714285714286,False
CN,China,2011-06-28,-2.0,-1.7142857142857142,True
CN,China,2011-06-29,,-2.0,False
CN,China,2011-06-30,-2.0,-2.0,True
CN,China,2011-07-01,,-2.0,False
CN,China,2011-07-02,,-2.0,False
CN,China,2011-07-03,,-2.0,False
CN,China,2011-07-04,,-2.0,False
CN,China,2011-07-05,-1.0,-1.8571428571428572,True
CN,China,2011-07-06,,-1.7142857142857142,False
CN,China,2011-07-07,-2.0,-1.7142857142857142,True
CN,China,2011-07-08,,-1.7142857142857142,False
CN,China,2011-07-09,,-1.7142857142857142,False
CN,China,2011-07-10,,-1.7142857142857142,False
CN,China,2011-07-11,,-1.7142857142857142,False
CN,China,2011-07-12,1.0,-1.4285714285714286,True
CN,China,2011-07-13,,-1.1428571428571428,False
CN,China,2011-07-14,-1.0,-1.0,True
CN,China,2011-07-15,,-0.8571428571428571,False
CN,China,2011-07-16,,-0.7142857142857143,False
CN,China,2011-07-17,,-0.5714285714285714,False
CN,China,2011-07-18,,-0.42857142857142855,False
CN,China,2011-07-19,,-0.7142857142857143,False
CN,China,2011-07-20,,-1.0,False
CN,China,2011-07-21,,-1.0,False
CN,China,2011-07-22,,-1.0,False
CN,China,2011-07-23,,-1.0,False
CN,China,2011-07-24,,-1.0,False
CN,China,2011-07-25,,-1.0,False
CN,China,2011-07-26,,-1.0,False
CN,China,2011-07-27,,-1.0,False
CN,China,2011-07-28,,-1.0,False
CN,China,2011-07-29,,-1.0,False
CN,China,2011-07-30,,-1.0,False
CN,China,2011-07-31,,-1.0,False
CN,China,2011-08-01,,-1.0,False
CN,China,2011-08-02,,-1.0,False
CN,China,2011-08-03,,-1.0,False
CN,China,2011-08-04,,-1.0,False
CN,China,2011-08-05,,-1.0,False
CN,China,2011-08-06,,-1.0,False
CN,China,2011-08-07,,-1.0,False
CN,China,2011-08-08,,-1.0,False
CN,China,2011-08-09,,-1.0,False
CN,China,2011-08-10,,-1.0,False
CN,China,2011-08-11,,-1.0,False
CN,China,2011-08-12,,-1.0,False
CN,China,2011-08-13,,-1.0,False
CN,China,2011-08-14,,-1.0,False
CN,China,2011-08-15,,-1.0,False
CN,China,2011-08-16,,-1.0,False
CN,China,2011-08-17,,-1.0,False
CN,China,2011-08-18,,-1.0,False
CN,China,2011-08-19,,-1.0,False
CN,China,2011-08-20,,-1.0,False
CN,China,2011-08-21,,-1.0,False
CN,China,2011-08-22,,-1.0,False
CN,China,2011-08-23,,-1.0,False
CN,China,2011-08-24,,-1.0,False
CN,China,2011-08-25,,-1.0,False
CN,China,2011-08-26,,-1.0,False
CN,China,2011-08-27,,-1.0,False
CN,China,2011-08-28,,-1.0,False
CN,China,2011-08-29,,-1.0,False
CN,China,2011-08-30,,-1.0,False
CN,China,2011-08-31,,-1.0,False
